HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username,NumberOfSimilarHITs,Description,RequesterAnnotation,AutoApprovalDelayInSeconds,Last30DaysApprovalRate,AutoApprovalTime,LifetimeInSeconds,Reward,RequesterFeedback,Approve,ApprovalTime,Last7DaysApprovalRate,RejectionTime,AssignmentStatus,LifetimeApprovalRate,Input.question_id,Reject,Keywords,Expiration
476682,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:07 PDT 2022,10,3600,3WMOAN2SRC2L11ID06C2GL8TLYYNVM,A2L9763BW12NLA,Fri Apr 08 16:20:58 PDT 2022,Fri Apr 08 16:21:04 PDT 2022,6,"[[{""id"": ""g0.0"", ""content"": ""cheese""}], [{""id"": ""g1.0"", ""content"": ""cheese, spinach""}, {""id"": ""g1.1"", ""content"": ""spinach""}], [{""id"": ""g2.0"", ""content"": ""cheese, basil""}, {""id"": ""g2.1"", ""content"": ""basil""}], [{""id"": ""g3.0"", ""content"": ""cheese and basil""}, {""id"": ""g3.1"", ""content"": ""sauce, cheese and basil""}], [{""id"": ""g4.0"", ""content"": ""sauce cheese spinach""}, {""id"": ""g4.1"", ""content"": ""mint, cheese, sauce""}]]","[""What toppings are visible?"", ""What toppings are visible?"", ""What toppings are visible?"", ""What toppings are visible?"", ""What toppings are visible?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000113962.jpg""","""What toppings are visible?""","[[{""id"":""g0.0"",""content"":""cheese""}],[{""id"":""g1.0"",""content"":""cheese, spinach""},{""id"":""g1.1"",""content"":""spinach""}],[{""id"":""g2.0"",""content"":""cheese, basil""},{""id"":""g2.1"",""content"":""basil""}],[{""id"":""g3.0"",""content"":""cheese and basil""},{""id"":""g3.1"",""content"":""sauce, cheese and basil""}],[{""id"":""g4.0"",""content"":""sauce cheese spinach""},{""id"":""g4.1"",""content"":""mint, cheese, sauce""}]]","[""What toppings are visible?"",""What toppings are visible?"",""What toppings are visible?"",""What toppings are visible?"",""What toppings are visible?""]",true,value,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:21:04 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),113962006,,"images, questions, language",Fri Apr 15 12:36:07 PDT 2022
476682,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22342,141,Sat Feb 26 20:26:28 UTC 2022,Sat Feb 26 20:26:38 UTC 2022,10,"[[{""id"": ""g0.0"", ""content"": ""cheese""}], [{""id"": ""g1.0"", ""content"": ""spinach""}, {""id"": ""g1.1"", ""content"": ""cheese, spinach""}], [{""id"": ""g2.0"", ""content"": ""basil""}, {""id"": ""g2.1"", ""content"": ""cheese, basil""}], [{""id"": ""g3.0"", ""content"": ""sauce, cheese and basil""}, {""id"": ""g3.1"", ""content"": ""cheese and basil""}], [{""id"": ""g4.0"", ""content"": ""sauce cheese spinach""}, {""id"": ""g4.1"", ""content"": ""mint, cheese, sauce""}]]","[""What toppings are visible?"", ""What toppings are visible?"", ""What toppings are visible?"", ""What toppings are visible?"", ""What toppings are visible?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000113962.jpg""","""What toppings are visible?""","[[{""id"":""g0.0"",""content"":""cheese""}],[{""id"":""g1.0"",""content"":""spinach""},{""id"":""g1.1"",""content"":""cheese, spinach""}],[{""id"":""g2.0"",""content"":""basil""},{""id"":""g2.1"",""content"":""cheese, basil""}],[{""id"":""g3.0"",""content"":""sauce, cheese and basil""},{""id"":""g3.1"",""content"":""cheese and basil""}],[{""id"":""g4.0"",""content"":""sauce cheese spinach""},{""id"":""g4.1"",""content"":""mint, cheese, sauce""}]]","[""What toppings are visible?"",""What toppings are visible?"",""What toppings are visible?"",""What toppings are visible?"",""What toppings are visible?""]",true,value,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476682,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22451,139,Wed Mar 02 18:58:16 UTC 2022,Wed Mar 02 18:58:25 UTC 2022,9,"[[{""id"": ""g0.0"", ""content"": ""cheese""}], [{""id"": ""g1.0"", ""content"": ""spinach""}, {""id"": ""g1.1"", ""content"": ""cheese, spinach""}], [{""id"": ""g2.0"", ""content"": ""basil""}, {""id"": ""g2.1"", ""content"": ""cheese, basil""}], [{""id"": ""g3.0"", ""content"": ""sauce, cheese and basil""}, {""id"": ""g3.1"", ""content"": ""cheese and basil""}], [{""id"": ""g4.0"", ""content"": ""sauce cheese spinach""}, {""id"": ""g4.1"", ""content"": ""mint, cheese, sauce""}]]","[""What toppings are visible?"", ""What toppings are visible?"", ""What toppings are visible?"", ""What toppings are visible?"", ""What toppings are visible?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000113962.jpg""","""What toppings are visible?""","[[{""id"":""g0.0"",""content"":""cheese""}],[{""id"":""g1.0"",""content"":""spinach""},{""id"":""g1.1"",""content"":""cheese, spinach""}],[{""id"":""g2.0"",""content"":""basil""},{""id"":""g2.1"",""content"":""cheese, basil""}],[{""id"":""g3.0"",""content"":""sauce, cheese and basil""},{""id"":""g3.1"",""content"":""cheese and basil""}],[{""id"":""g4.0"",""content"":""sauce cheese spinach""},{""id"":""g4.1"",""content"":""mint, cheese, sauce""}]]","[""What toppings are visible?"",""What toppings are visible?"",""What toppings are visible?"",""What toppings are visible?"",""What toppings are visible?""]",true,value,"""All answer the same question""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476684,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22183,52,Thu Feb 24 13:08:59 UTC 2022,Thu Feb 24 13:09:05 UTC 2022,6,"[[{""id"": ""g0.0"", ""content"": ""blue""}, {""id"": ""g0.1"", ""content"": ""red blue""}, {""id"": ""g0.2"", ""content"": ""red, blue""}, {""id"": ""g0.3"", ""content"": ""red white blue""}], [{""id"": ""g1.0"", ""content"": ""red and blue""}, {""id"": ""g1.1"", ""content"": ""blue and red""}]]","[""What are the colors most prominently represented?"", ""What are the colors most prominently represented?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012145.jpg""","""What are the colors most prominently represented?""","[[{""id"":""g0.0"",""content"":""blue""},{""id"":""g0.1"",""content"":""red blue""},{""id"":""g0.2"",""content"":""red, blue""},{""id"":""g0.3"",""content"":""red white blue""}],[{""id"":""g1.0"",""content"":""red and blue""},{""id"":""g1.1"",""content"":""blue and red""}]]","[""What are the colors most prominently represented?"",""What are the colors most prominently represented?""]",true,value,"""All answer the same question""",esteng,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476684,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:07 PDT 2022,10,3600,3SKRO2GZ72W47JHCWF0XH5K92ZNK1Q,A2L9763BW12NLA,Fri Apr 08 16:25:20 PDT 2022,Fri Apr 08 16:25:23 PDT 2022,3,"[[{""id"": ""g0.0"", ""content"": ""red, blue""}, {""id"": ""g0.1"", ""content"": ""blue""}, {""id"": ""g0.2"", ""content"": ""red white blue""}, {""id"": ""g0.3"", ""content"": ""red blue""}], [{""id"": ""g1.0"", ""content"": ""red and blue""}, {""id"": ""g1.1"", ""content"": ""blue and red""}]]","[""What are the colors most prominently represented?"", ""What are the colors most prominently represented?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012145.jpg""","""What are the colors most prominently represented?""","[[{""id"":""g0.0"",""content"":""red, blue""},{""id"":""g0.1"",""content"":""blue""},{""id"":""g0.2"",""content"":""red white blue""},{""id"":""g0.3"",""content"":""red blue""}],[{""id"":""g1.0"",""content"":""red and blue""},{""id"":""g1.1"",""content"":""blue and red""}]]","[""What are the colors most prominently represented?"",""What are the colors most prominently represented?""]",true,value,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:25:23 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),12145002,,"images, questions, language",Fri Apr 15 12:36:07 PDT 2022
476684,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22344,141,Sat Feb 26 20:27:14 UTC 2022,Sat Feb 26 20:27:18 UTC 2022,4,"[[{""id"": ""g0.0"", ""content"": ""blue""}, {""id"": ""g0.1"", ""content"": ""red blue""}, {""id"": ""g0.2"", ""content"": ""red, blue""}, {""id"": ""g0.3"", ""content"": ""red white blue""}], [{""id"": ""g1.0"", ""content"": ""red and blue""}, {""id"": ""g1.1"", ""content"": ""blue and red""}]]","[""What are the colors most prominently represented?"", ""What are the colors most prominently represented?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012145.jpg""","""What are the colors most prominently represented?""","[[{""id"":""g0.0"",""content"":""blue""},{""id"":""g0.1"",""content"":""red blue""},{""id"":""g0.2"",""content"":""red, blue""},{""id"":""g0.3"",""content"":""red white blue""}],[{""id"":""g1.0"",""content"":""red and blue""},{""id"":""g1.1"",""content"":""blue and red""}]]","[""What are the colors most prominently represented?"",""What are the colors most prominently represented?""]",true,value,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476684,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22453,139,Wed Mar 02 18:58:59 UTC 2022,Wed Mar 02 18:59:04 UTC 2022,5,"[[{""id"": ""g0.0"", ""content"": ""blue""}, {""id"": ""g0.1"", ""content"": ""red blue""}, {""id"": ""g0.2"", ""content"": ""red, blue""}, {""id"": ""g0.3"", ""content"": ""red white blue""}], [{""id"": ""g1.0"", ""content"": ""red and blue""}, {""id"": ""g1.1"", ""content"": ""blue and red""}]]","[""What are the colors most prominently represented?"", ""What are the colors most prominently represented?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012145.jpg""","""What are the colors most prominently represented?""","[[{""id"":""g0.0"",""content"":""blue""},{""id"":""g0.1"",""content"":""red blue""},{""id"":""g0.2"",""content"":""red, blue""},{""id"":""g0.3"",""content"":""red white blue""}],[{""id"":""g1.0"",""content"":""red and blue""},{""id"":""g1.1"",""content"":""blue and red""}]]","[""What are the colors most prominently represented?"",""What are the colors most prominently represented?""]",true,value,"""All answer the same question""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476688,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22187,52,Thu Feb 24 13:09:46 UTC 2022,Thu Feb 24 13:09:55 UTC 2022,9,"[[{""id"": ""g0.0"", ""content"": ""home run""}, {""id"": ""g0.1"", ""content"": ""hit home run""}], [{""id"": ""g1.0"", ""content"": ""winning game""}, {""id"": ""g1.1"", ""content"": ""won game""}, {""id"": ""g1.2"", ""content"": ""his team won""}, {""id"": ""g1.3"", ""content"": ""he won""}, {""id"": ""g1.4"", ""content"": ""team won pennant""}]]","[""Why is the player celebrating?"", ""Why is the player celebrating?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000149739.jpg""","""Why is the player celebrating?""","[[{""id"":""g0.0"",""content"":""home run""},{""id"":""g0.1"",""content"":""hit home run""}],[{""id"":""g1.0"",""content"":""winning game""},{""id"":""g1.1"",""content"":""won game""},{""id"":""g1.2"",""content"":""his team won""},{""id"":""g1.3"",""content"":""he won""},{""id"":""g1.4"",""content"":""team won pennant""}]]","[""Why is the player celebrating?"",""Why is the player celebrating?""]",true,value,"""All answer the same question""",esteng,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476688,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:07 PDT 2022,10,3600,3EFVCAY5L4ER7ZVFDF90V0741GU8J0,A2L9763BW12NLA,Fri Apr 08 16:27:40 PDT 2022,Fri Apr 08 16:27:44 PDT 2022,4,"[[{""id"": ""g0.0"", ""content"": ""home run""}, {""id"": ""g0.1"", ""content"": ""hit home run""}], [{""id"": ""g1.0"", ""content"": ""won game""}, {""id"": ""g1.1"", ""content"": ""winning game""}, {""id"": ""g1.2"", ""content"": ""he won""}, {""id"": ""g1.3"", ""content"": ""team won pennant""}, {""id"": ""g1.4"", ""content"": ""his team won""}]]","[""Why is the player celebrating?"", ""Why is the player celebrating?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000149739.jpg""","""Why is the player celebrating?""","[[{""id"":""g0.0"",""content"":""home run""},{""id"":""g0.1"",""content"":""hit home run""}],[{""id"":""g1.0"",""content"":""won game""},{""id"":""g1.1"",""content"":""winning game""},{""id"":""g1.2"",""content"":""he won""},{""id"":""g1.3"",""content"":""team won pennant""},{""id"":""g1.4"",""content"":""his team won""}]]","[""Why is the player celebrating?"",""Why is the player celebrating?""]",true,value,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:27:44 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),149739002,,"images, questions, language",Fri Apr 15 12:36:07 PDT 2022
476688,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22348,141,Sat Feb 26 20:31:24 UTC 2022,Sat Feb 26 20:31:45 UTC 2022,21,"[[{""id"": ""g0.0"", ""content"": ""home run""}, {""id"": ""g0.1"", ""content"": ""hit home run""}], [{""id"": ""g1.0"", ""content"": ""winning game""}, {""id"": ""g1.1"", ""content"": ""won game""}, {""id"": ""g1.2"", ""content"": ""his team won""}, {""id"": ""g1.3"", ""content"": ""he won""}, {""id"": ""g1.4"", ""content"": ""team won pennant""}]]","[""Why is the player celebrating?"", ""Why is the player celebrating?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000149739.jpg""","""Why is the player celebrating?""","[[{""id"":""g0.0"",""content"":""home run""},{""id"":""g0.1"",""content"":""hit home run""}],[{""id"":""g1.0"",""content"":""winning game""},{""id"":""g1.1"",""content"":""won game""},{""id"":""g1.2"",""content"":""his team won""},{""id"":""g1.3"",""content"":""he won""},{""id"":""g1.4"",""content"":""team won pennant""}]]","[""Why is the player celebrating?"",""Why is the player celebrating?""]",true,value,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476688,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22457,139,Wed Mar 02 19:00:22 UTC 2022,Wed Mar 02 19:00:45 UTC 2022,23,"[[{""id"": ""g0.0"", ""content"": ""home run""}, {""id"": ""g0.1"", ""content"": ""hit home run""}], [{""id"": ""g1.0"", ""content"": ""winning game""}, {""id"": ""g1.1"", ""content"": ""won game""}, {""id"": ""g1.2"", ""content"": ""his team won""}, {""id"": ""g1.3"", ""content"": ""he won""}, {""id"": ""g1.4"", ""content"": ""team won pennant""}]]","[""Why is the player celebrating?"", ""Why is the player celebrating?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000149739.jpg""","""Why is the player celebrating?""","[[{""id"":""g0.0"",""content"":""home run""},{""id"":""g0.1"",""content"":""hit home run""}],[{""id"":""g1.0"",""content"":""winning game""},{""id"":""g1.1"",""content"":""won game""},{""id"":""g1.2"",""content"":""his team won""},{""id"":""g1.3"",""content"":""he won""},{""id"":""g1.4"",""content"":""team won pennant""}]]","[""Why is the player celebrating?"",""Why is the player celebrating?""]",true,value,"""Ambiguous (need more information)""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476690,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22189,52,Thu Feb 24 13:10:57 UTC 2022,Thu Feb 24 13:11:01 UTC 2022,4,"[[{""id"": ""g0.0"", ""content"": ""night""}, {""id"": ""g0.1"", ""content"": ""night time""}, {""id"": ""g0.2"", ""content"": ""late at night""}], [{""id"": ""g1.0"", ""content"": ""it's late at night""}, {""id"": ""g1.1"", ""content"": ""it's night""}, {""id"": ""g1.2"", ""content"": ""it's night time""}, {""id"": ""g1.3"", ""content"": ""it's dark""}, {""id"": ""g1.4"", ""content"": ""its dark""}]]","[""Why aren't people in the streets?"", ""Why aren't people in the streets?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000016364.jpg""","""Why aren't people in the streets?""","[[{""id"":""g0.0"",""content"":""night""},{""id"":""g0.1"",""content"":""night time""},{""id"":""g0.2"",""content"":""late at night""}],[{""id"":""g1.0"",""content"":""it's late at night""},{""id"":""g1.1"",""content"":""it's night""},{""id"":""g1.2"",""content"":""it's night time""},{""id"":""g1.3"",""content"":""it's dark""},{""id"":""g1.4"",""content"":""its dark""}]]","[""Why aren't people in the streets?"",""Why aren't people in the streets?""]",true,value,"""All answer the same question""",esteng,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476690,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:07 PDT 2022,10,3600,3K772S5NP9GCPUAG2ISFBXNBZRQEH2,A2L9763BW12NLA,Fri Apr 08 16:33:07 PDT 2022,Fri Apr 08 16:33:15 PDT 2022,8,"[[{""id"": ""g0.0"", ""content"": ""late at night""}, {""id"": ""g0.1"", ""content"": ""night""}, {""id"": ""g0.2"", ""content"": ""night time""}], [{""id"": ""g1.0"", ""content"": ""it's night""}, {""id"": ""g1.1"", ""content"": ""it's night time""}, {""id"": ""g1.2"", ""content"": ""its dark""}, {""id"": ""g1.3"", ""content"": ""it's late at night""}, {""id"": ""g1.4"", ""content"": ""it's dark""}]]","[""Why aren't people in the streets?"", ""Why aren't people in the streets?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000016364.jpg""","""Why aren't people in the streets?""","[[{""id"":""g0.0"",""content"":""late at night""},{""id"":""g0.1"",""content"":""night""},{""id"":""g0.2"",""content"":""night time""}],[{""id"":""g1.0"",""content"":""it's night""},{""id"":""g1.1"",""content"":""it's night time""},{""id"":""g1.2"",""content"":""its dark""},{""id"":""g1.3"",""content"":""it's late at night""},{""id"":""g1.4"",""content"":""it's dark""}]]","[""Why aren't people in the streets?"",""Why aren't people in the streets?""]",true,value,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:33:15 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),16364001,,"images, questions, language",Fri Apr 15 12:36:07 PDT 2022
476690,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22350,141,Sat Feb 26 20:31:52 UTC 2022,Sat Feb 26 20:32:00 UTC 2022,8,"[[{""id"": ""g0.0"", ""content"": ""night""}, {""id"": ""g0.1"", ""content"": ""night time""}, {""id"": ""g0.2"", ""content"": ""late at night""}], [{""id"": ""g1.0"", ""content"": ""it's late at night""}, {""id"": ""g1.1"", ""content"": ""it's night""}, {""id"": ""g1.2"", ""content"": ""it's night time""}, {""id"": ""g1.3"", ""content"": ""it's dark""}, {""id"": ""g1.4"", ""content"": ""its dark""}]]","[""Why aren't people in the streets?"", ""Why aren't people in the streets?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000016364.jpg""","""Why aren't people in the streets?""","[[{""id"":""g0.0"",""content"":""night""},{""id"":""g0.1"",""content"":""night time""},{""id"":""g0.2"",""content"":""late at night""}],[{""id"":""g1.0"",""content"":""it's late at night""},{""id"":""g1.1"",""content"":""it's night""},{""id"":""g1.2"",""content"":""it's night time""},{""id"":""g1.3"",""content"":""it's dark""},{""id"":""g1.4"",""content"":""its dark""}]]","[""Why aren't people in the streets?"",""Why aren't people in the streets?""]",true,value,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476690,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22459,139,Wed Mar 02 19:02:21 UTC 2022,Wed Mar 02 19:02:27 UTC 2022,6,"[[{""id"": ""g0.0"", ""content"": ""night""}, {""id"": ""g0.1"", ""content"": ""night time""}, {""id"": ""g0.2"", ""content"": ""late at night""}], [{""id"": ""g1.0"", ""content"": ""it's late at night""}, {""id"": ""g1.1"", ""content"": ""it's night""}, {""id"": ""g1.2"", ""content"": ""it's night time""}, {""id"": ""g1.3"", ""content"": ""it's dark""}, {""id"": ""g1.4"", ""content"": ""its dark""}]]","[""Why aren't people in the streets?"", ""Why aren't people in the streets?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000016364.jpg""","""Why aren't people in the streets?""","[[{""id"":""g0.0"",""content"":""night""},{""id"":""g0.1"",""content"":""night time""},{""id"":""g0.2"",""content"":""late at night""}],[{""id"":""g1.0"",""content"":""it's late at night""},{""id"":""g1.1"",""content"":""it's night""},{""id"":""g1.2"",""content"":""it's night time""},{""id"":""g1.3"",""content"":""it's dark""},{""id"":""g1.4"",""content"":""its dark""}]]","[""Why aren't people in the streets?"",""Why aren't people in the streets?""]",true,value,"""All answer the same question""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476691,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22190,52,Thu Feb 24 13:11:01 UTC 2022,Thu Feb 24 13:11:40 UTC 2022,39,"[[{""id"": ""g0.0"", ""content"": ""white""}], [{""id"": ""g1.0"", ""content"": ""brown""}]]","[""What is the color of the second box car?"", ""What is the color of the second box car?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000165829.jpg""","""What is the color of the second box car?""","[[{""id"":""g0.0"",""content"":""white""}],[{""id"":""g1.0"",""content"":""brown""}]]","[""What is the color of the car behind the locomotive?"",""What is the color of the second car behind the locomotive?""]",false,,"""All answer the same question""",esteng,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476691,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:07 PDT 2022,10,3600,3DZQRBDBSMKY558ZOSNIWKQGHDES37,A2L9763BW12NLA,Fri Apr 08 16:26:15 PDT 2022,Fri Apr 08 16:26:19 PDT 2022,4,"[[{""id"": ""g0.0"", ""content"": ""white""}], [{""id"": ""g1.0"", ""content"": ""brown""}]]","[""What is the color of the second box car?"", ""What is the color of the second box car?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000165829.jpg""","""What is the color of the second box car?""","[[{""id"":""g0.0"",""content"":""white""}],[{""id"":""g1.0"",""content"":""brown""}]]","[""What is the color of the second box car?"",""What is the color of the second box car?""]",true,value,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:26:19 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),165829001,,"images, questions, language",Fri Apr 15 12:36:07 PDT 2022
476691,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22351,141,Sat Feb 26 20:32:00 UTC 2022,Sat Feb 26 20:32:43 UTC 2022,43,"[[{""id"": ""g0.0"", ""content"": ""white""}], [{""id"": ""g1.0"", ""content"": ""brown""}]]","[""What is the color of the second box car?"", ""What is the color of the second box car?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000165829.jpg""","""What is the color of the second box car?""","[[{""id"":""g0.0"",""content"":""white""}],[{""id"":""g1.0"",""content"":""brown""}]]","[""What is the color of the second box car (including the engine car)?"",""What is the color of the second box car (not including the engine car)?""]",false,,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476691,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22460,139,Wed Mar 02 19:02:28 UTC 2022,Wed Mar 02 19:02:46 UTC 2022,18,"[[{""id"": ""g0.0"", ""content"": ""white""}], [{""id"": ""g1.0"", ""content"": ""brown""}]]","[""What is the color of the second box car?"", ""What is the color of the second box car?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000165829.jpg""","""What is the color of the second box car?""","[[{""id"":""g1.0"",""content"":""brown""},{""id"":""g0.0"",""content"":""white""}]]","[""What are the colors of the second box car?""]",false,,"""All answer the same question""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
